gene_description,gene_rank
 mitogen-activated protein kinase 1,117
 mitogen-activated protein kinase 3,117
" phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha",106
" phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",106
" phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta",106
 phosphoinositide-3-kinase regulatory subunit 1,103
 phosphoinositide-3-kinase regulatory subunit 3,103
 phosphoinositide-3-kinase regulatory subunit 2,103
 AKT serine/threonine kinase 1,100
 AKT serine/threonine kinase 2,100
 AKT serine/threonine kinase 3,100
 mitogen-activated protein kinase kinase 1,89
" HRas proto-oncogene, GTPase",84
" Raf-1 proto-oncogene, serine/threonine kinase",83
" KRAS proto-oncogene, GTPase",83
" NRAS proto-oncogene, GTPase",80
 mitogen-activated protein kinase kinase 2,77
 nuclear factor kappa B subunit 1,76
" RELA proto-oncogene, NF-kB subunit",76
 protein kinase C alpha,73
 mitogen-activated protein kinase 9,73
 mitogen-activated protein kinase 8,73
 mitogen-activated protein kinase 10,73
 protein kinase C beta,71
 protein kinase cAMP-activated catalytic subunit alpha,70
 protein kinase cAMP-activated catalytic subunit beta,70
 protein kinase cAMP-activated catalytic subunit gamma,70
 tumor necrosis factor,67
 mitogen-activated protein kinase 11,62
 mitogen-activated protein kinase 14,62
 mitogen-activated protein kinase 12,62
 protein kinase C gamma,62
 mitogen-activated protein kinase 13,62
 phospholipase C beta 2,61
 phospholipase C beta 4,61
 phospholipase C beta 1,61
 phospholipase C beta 3,61
 inhibitor of nuclear factor kappa B kinase subunit beta,59
" Jun proto-oncogene, AP-1 transcription factor subunit",56
 adenylate cyclase 5,55
 component of inhibitor of nuclear factor kappa B kinase complex,53
 inhibitor of nuclear factor kappa B kinase regulatory subunit gamma,53
 adenylate cyclase 3,52
 adenylate cyclase 6,52
 Rac family small GTPase 1,52
 adenylate cyclase 1,52
 adenylate cyclase 9,52
 interleukin 6,51
 tumor protein p53,51
 GNAS complex locus,51
 mechanistic target of rapamycin kinase,51
 adenylate cyclase 8,51
 adenylate cyclase 4,50
 adenylate cyclase 2,50
" BCL2 associated X, apoptosis regulator",50
 growth factor receptor bound protein 2,50
 adenylate cyclase 7,49
 NFKB inhibitor alpha,49
" inositol 1,4,5-trisphosphate receptor type 1",49
" inositol 1,4,5-trisphosphate receptor type 3",49
 cyclin D1,48
 epidermal growth factor receptor,48
 G protein subunit alpha q,48
 SOS Ras/Rho guanine nucleotide exchange factor 2,48
 SOS Ras/Rac guanine nucleotide exchange factor 1,48
 glycogen synthase kinase 3 beta,46
" inositol 1,4,5-trisphosphate receptor type 2",45
" Fos proto-oncogene, AP-1 transcription factor subunit",45
 phospholipase C gamma 1,45
" B-Raf proto-oncogene, serine/threonine kinase",44
 interleukin 1 beta,44
 caspase 3,44
 calmodulin like 5,43
 BCL2 apoptosis regulator,43
 calmodulin 1,43
 calmodulin like 3,43
 calmodulin 3,43
 BCL2 associated agonist of cell death,43
 calmodulin 2,43
 calmodulin like 6,43
 calmodulin like 4,43
" SRC proto-oncogene, non-receptor tyrosine kinase",42
 cAMP responsive element binding protein 1,42
 G protein subunit alpha i1,41
 ras homolog family member A,41
 G protein subunit alpha i3,41
 G protein subunit alpha i2,41
 cyclin dependent kinase inhibitor 1A,41
 activating transcription factor 4,40
 phospholipase C gamma 2,40
 caspase 8,36
" A-Raf proto-oncogene, serine/threonine kinase",36
 cAMP responsive element binding protein 3 like 3,35
 cAMP responsive element binding protein 3 like 2,35
 cAMP responsive element binding protein 3 like 1,35
 cAMP responsive element binding protein 3 like 4,35
 caspase 9,35
 cAMP responsive element binding protein 3,35
 calcium voltage-gated channel subunit alpha1 D,35
 TNF receptor superfamily member 1A,35
" cytochrome c, somatic",34
" MYC proto-oncogene, bHLH transcription factor",34
 transforming growth factor beta 1,34
 cAMP responsive element binding protein 5,34
 calcium voltage-gated channel subunit alpha1 C,34
 calcium/calmodulin dependent protein kinase II delta,33
 BCL2 antagonist/killer 1,33
 calcium/calmodulin dependent protein kinase II gamma,33
 calcium/calmodulin dependent protein kinase II beta,33
 C-X-C motif chemokine ligand 8,33
 protein phosphatase 3 catalytic subunit alpha,33
 protein phosphatase 3 catalytic subunit beta,33
 protein phosphatase 3 catalytic subunit gamma,33
 calcium/calmodulin dependent protein kinase II alpha,33
" protein phosphatase 3 regulatory subunit B, alpha",32
 signal transducer and activator of transcription 3,32
 interferon gamma,32
" protein phosphatase 3 regulatory subunit B, beta",32
 Fas cell surface death receptor,32
 TNF receptor associated factor 2,32
 TNF receptor associated factor 6,32
 Fas ligand,31
 insulin like growth factor 1,31
 catenin beta 1,31
 epidermal growth factor,31
 toll like receptor 4,31
 cell division cycle 42,31
 ribosomal protein S6 kinase B1,31
 ribosomal protein S6 kinase B2,31
 transforming growth factor beta 2,31
 insulin,30
 actin gamma 1,30
 immunoglobulin heavy variable 4-38-2-like,30
 actin beta,30
 insulin like growth factor 1 receptor,29
 signal transducer and activator of transcription 1,29
 mitogen-activated protein kinase kinase kinase 7,29
 Rac family small GTPase 2,29
 interferon beta 1,28
 cyclin dependent kinase 4,28
 BCL2 like 1,28
 phosphatase and tensin homolog,28
 transforming growth factor beta 3,28
 activating transcription factor 2,27
 Fas associated via death domain,27
 Janus kinase 1,27
 calcium voltage-gated channel subunit alpha1 F,27
 calcium voltage-gated channel subunit alpha1 S,27
 MYD88 innate immune signal transduction adaptor,26
 3-phosphoinositide dependent protein kinase 1,26
 E2F transcription factor 1,26
 E1A binding protein p300,26
 CREB binding protein,26
 interleukin 12B,25
 interleukin 12A,25
 RB transcriptional corepressor 1,25
 interferon alpha 4,25
 activating transcription factor 6 beta,25
 mitogen-activated protein kinase kinase 7,25
 integrin subunit beta 1,25
 interferon alpha 5,25
 TANK binding kinase 1,25
 interferon alpha 21,25
 interferon alpha 1,25
 interferon alpha 13,25
 interferon alpha 14,25
 interferon alpha 16,25
 interferon alpha 17,25
 interferon alpha 2,25
 MDM2 proto-oncogene,25
 interferon alpha 8,25
 interferon alpha 7,25
 interferon alpha 6,25
 interferon alpha 10,25
" major histocompatibility complex, class II, DR alpha",24
 TNFRSF1A associated via death domain,24
" major histocompatibility complex, class II, DR beta 3",24
 Janus kinase 2,24
" major histocompatibility complex, class II, DM beta",24
 BH3 interacting domain death agonist,24
" major histocompatibility complex, class II, DO alpha",24
 protein tyrosine kinase 2,24
" major histocompatibility complex, class II, DR beta 1",24
 vascular endothelial growth factor A,24
" major histocompatibility complex, class II, DO beta",24
" major histocompatibility complex, class II, DP alpha 1",24
" major histocompatibility complex, class II, DR beta 5",24
 mitogen-activated protein kinase kinase 6,24
" major histocompatibility complex, class II, DQ alpha 2",24
" major histocompatibility complex, class II, DP beta 1",24
" major histocompatibility complex, class II, DQ beta 1",24
" major histocompatibility complex, class II, DR beta 4",24
" major histocompatibility complex, class II, DM alpha",24
" major histocompatibility complex, class II, DQ alpha 1",24
 Rac family small GTPase 3,24
 E2F transcription factor 3,23
" MET proto-oncogene, receptor tyrosine kinase",23
 E2F transcription factor 2,23
 toll like receptor 2,23
 phospholipase A2 group IVC,23
 phospholipase A2 group IVB,23
 phospholipase A2 group IVA,23
 phospholipase A2 group IVE,23
 phospholipase A2 group IVF,23
 cyclin dependent kinase 6,23
 phospholipase A2 group IVD,23
 JMJD7-PLA2G4B readthrough,23
 growth arrest and DNA damage inducible alpha,23
 nuclear factor of activated T cells 1,23
 growth arrest and DNA damage inducible beta,23
 transforming growth factor beta receptor 2,23
 transforming growth factor beta receptor 1,23
 growth arrest and DNA damage inducible gamma,23
 erb-b2 receptor tyrosine kinase 2,22
 protein phosphatase 1 catalytic subunit gamma,22
 insulin receptor,22
 interleukin 10,22
 protein phosphatase 1 catalytic subunit alpha,22
 SHC adaptor protein 4,22
 SMAD family member 3,22
 prostaglandin-endoperoxide synthase 2,22
 SHC adaptor protein 2,22
 SHC adaptor protein 1,22
 interleukin 1 receptor associated kinase 4,22
 protein phosphatase 1 catalytic subunit beta,22
 mitogen-activated protein kinase kinase 3,21
 SHC adaptor protein 3,21
 nuclear factor of activated T cells 2,21
 apoptotic peptidase activating factor 1,21
 interleukin 1 alpha,21
 interferon regulatory factor 3,21
 TGF-beta activated kinase 1 (MAP3K7) binding protein 2,21
 Rho associated coiled-coil containing protein kinase 2,21
 transcription factor 7,21
 integrin subunit beta 3,20
 interleukin 2,20
 TNF receptor associated factor 3,20
 damage specific DNA binding protein 2,20
 interleukin 1 receptor associated kinase 1,20
 platelet derived growth factor subunit B,20
 mitogen-activated protein kinase kinase kinase 5,20
 platelet derived growth factor receptor alpha,20
 protein kinase AMP-activated catalytic subunit alpha 1,20
 protein kinase AMP-activated catalytic subunit alpha 2,20
 G protein subunit beta 1,20
 transcription factor 7 like 1,20
 transcription factor 7 like 2,20
 SMAD family member 2,20
 mitogen-activated protein kinase kinase 4,20
 G protein subunit gamma 12,20
 G protein subunit gamma 13,20
 Rho associated coiled-coil containing protein kinase 1,20
 insulin receptor substrate 1,20
" CRK like proto-oncogene, adaptor protein",19
 glutamate ionotropic receptor NMDA type subunit 2B,19
" CRK proto-oncogene, adaptor protein",19
" major histocompatibility complex, class I, A",19
 glutamate ionotropic receptor NMDA type subunit 2A,19
 NFKB inhibitor beta,19
 nitric oxide synthase 3,19
 nuclear factor of activated T cells 3,19
 platelet derived growth factor receptor beta,19
 platelet derived growth factor subunit A,19
 integrin subunit beta 2,19
 cyclin D2,19
 voltage dependent anion channel 1,19
 G protein subunit gamma transducin 1,19
 voltage dependent anion channel 3,19
" major histocompatibility complex, class I, G",19
 p21 (RAC1) activated kinase 1,19
" major histocompatibility complex, class I, E",19
" major histocompatibility complex, class I, C",19
" major histocompatibility complex, class I, B",19
 nitric oxide synthase 2,19
 lymphoid enhancer binding factor 1,19
 cyclin dependent kinase 2,19
 G protein subunit gamma 7,19
 cyclin dependent kinase inhibitor 1B,19
 G protein subunit alpha 11,19
 G protein subunit alpha o1,19
 G protein subunit beta 3,19
 protein tyrosine phosphatase non-receptor type 11,18
 SMAD family member 4,18
 inhibitor of nuclear factor kappa B kinase subunit epsilon,18
 cyclin dependent kinase inhibitor 2A,18
" major histocompatibility complex, class I, F",18
 G protein subunit beta 2,18
 G protein subunit beta 4,18
 G protein subunit gamma 8,18
 interferon alpha and beta receptor subunit 1,18
 G protein subunit beta 5,18
 TGF-beta activated kinase 1 (MAP3K7) binding protein 1,18
 signal transducer and activator of transcription 5B,18
 G protein subunit gamma 10,18
 G protein subunit gamma 11,18
 G protein subunit gamma 2,18
 G protein subunit gamma 3,18
 glutamate ionotropic receptor NMDA type subunit 1,18
 G protein subunit gamma 4,18
 G protein subunit gamma 5,18
 interferon gamma receptor 1,18
 G protein subunit gamma transducin 2,18
 ATPase Na+/K+ transporting family member beta 4,18
 ATPase Na+/K+ transporting subunit alpha 3,18
 ATPase Na+/K+ transporting subunit beta 3,18
 ATPase Na+/K+ transporting subunit beta 2,18
 ATPase Na+/K+ transporting subunit beta 1,18
 ATPase Na+/K+ transporting subunit alpha 4,18
 ATPase Na+/K+ transporting subunit alpha 2,18
 ATPase Na+/K+ transporting subunit alpha 1,18
 frizzled class receptor 3,17
 signal transducer and activator of transcription 5A,17
 integrin subunit alpha 5,17
 retinoid X receptor alpha,17
 Wnt family member 4,17
 voltage dependent anion channel 2,17
 C-C motif chemokine ligand 2,17
 protein kinase C delta,17
 intercellular adhesion molecule 1,17
 CD40 molecule,17
 spleen associated tyrosine kinase,17
 DNA polymerase kappa,17
 interferon gamma receptor 2,17
 interferon alpha and beta receptor subunit 2,17
 cyclin E2,17
 cyclin E1,17
 complement C3,17
 matrix metallopeptidase 9,16
 fibroblast growth factor receptor 1,16
 baculoviral IAP repeat containing 3,16
 C-C motif chemokine ligand 5,16
 protein kinase C zeta,16
 calcium voltage-gated channel subunit alpha1 A,16
 protein kinase AMP-activated non-catalytic subunit gamma 2,16
 baculoviral IAP repeat containing 2,16
 integrin subunit alpha M,16
 Wnt family member 1,16
 interleukin 4,16
 colony stimulating factor 2,16
 integrin subunit alpha V,16
 toll like receptor adaptor molecule 1,16
 forkhead box O3,16
 protein kinase AMP-activated non-catalytic subunit beta 1,16
 protein kinase AMP-activated non-catalytic subunit beta 2,16
 forkhead box O1,16
 tyrosine kinase 2,16
 protein kinase AMP-activated non-catalytic subunit gamma 3,16
 phosphatidylinositol 3-kinase catalytic subunit type 3,16
 protein kinase AMP-activated non-catalytic subunit gamma 1,16
 Wnt family member 5A,16
 phospholipase D1,16
 protein phosphatase 2 catalytic subunit beta,16
 hepatocyte growth factor,16
 protein phosphatase 2 catalytic subunit alpha,16
 Wnt family member 3A,16
 angiotensin II receptor type 1,16
 phospholipase D2,16
 interleukin 18,16
 receptor interacting serine/threonine kinase 1,16
 Wnt family member 5B,16
 Wnt family member 3,16
 cyclin D3,16
 APC regulator of WNT signaling pathway 2,16
